Jogador,ID_Jogador,Numero,Idade,Nacionalidade,No_plantel,Jogos,Gols,Assistencias,Cartoes_amarelos,Expulsoes_dois_amarelos,Expulsoes_vermelho_direto,Suplente_utilizado,Substituicoes,Pontos_por_jogo,Minutos_jogados,Identifier,Camp,Ano,Time
Paulinho Paula,534473,18,25,,21,21,1,2,6,1,-,2,7,"1,52",1.686',BRA1_2023,BRA1,2023,CR Vasco da Gama
Juninho,740271,50,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Rodrigo,1009017,-,20,,10,8,-,-,1,-,-,4,2,"0,75",349',BRA1_2023,BRA1,2023,CR Vasco da Gama
Cauan Barros,1083966,-,18,,16,8,1,-,2,-,-,5,4,"1,00",238',BRA1_2023,BRA1,2023,CR Vasco da Gama
Matheus Barbosa,181784,-,27,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Gabriel Carabajal,280157,20,31,,12,6,-,1,-,-,-,6,-,"0,00",116',BRA1_2023,BRA1,2023,CR Vasco da Gama
Nenê,29091,-,40,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Gabriel Pec,703321,11,21,,37,37,8,4,6,-,-,8,20,"1,22",2.626',BRA1_2023,BRA1,2023,CR Vasco da Gama
Rayan,1012564,-,15,,9,6,1,-,2,-,-,3,3,"0,50",265',BRA1_2023,BRA1,2023,CR Vasco da Gama
Luca Orellano,636784,14,22,,28,18,1,1,2,-,-,12,6,"0,67",618',BRA1_2023,BRA1,2023,CR Vasco da Gama
Rwan Cruz,973569,-,21,,10,2,-,-,-,-,-,2,-,"0,50",32',BRA1_2023,BRA1,2023,CR Vasco da Gama
Eguinaldo,1033963,-,17,,7,4,-,-,2,-,-,4,-,"1,00",63',BRA1_2023,BRA1,2023,CR Vasco da Gama
Pedro Raul,547443,-,25,,12,12,2,-,3,-,-,3,3,"0,50",835',BRA1_2023,BRA1,2023,CR Vasco da Gama
Erick Marcus,834481,16,18,,19,14,1,1,1,1,-,11,3,"0,93",394',BRA1_2023,BRA1,2023,CR Vasco da Gama
Figueiredo,703324,15,20,,26,16,-,-,2,-,-,9,6,"0,88",652',BRA1_2023,BRA1,2023,CR Vasco da Gama
Erick Farias,535037,-,25,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Sebastián Ferreira,401727,9,24,,23,13,-,1,2,-,-,10,2,"1,54",435',BRA1_2023,BRA1,2023,CR Vasco da Gama
Rossi,212114,31,29,,12,9,1,4,-,-,1,5,4,"2,11",398',BRA1_2023,BRA1,2023,CR Vasco da Gama
Pablo Vegetti,334229,99,33,,21,21,10,1,2,1,-,1,3,"1,57",1.795',BRA1_2023,BRA1,2023,CR Vasco da Gama
Vinícius Paiva,689561,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Serginho,456449,70,27,,22,9,2,-,2,-,-,4,5,"1,22",358',BRA1_2023,BRA1,2023,CR Vasco da Gama
Alex Teixeira,66515,7,32,,38,22,1,3,1,-,-,9,12,"0,86",1.135',BRA1_2023,BRA1,2023,CR Vasco da Gama
João Tavares,815678,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
Zé Vitor,649722,98,23,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,CR Vasco da Gama
João Ricardo,270420,1,32,,35,35,-,-,5,-,-,-,-,"0,91",3.150',BRA1_2022,BRA1,2022,Ceará SC
Richard Costa,159893,91,30,,28,1,-,-,2,-,-,-,-,"3,00",90',BRA1_2022,BRA1,2022,Ceará SC
Vinicius Machado,728558,50,21,,11,2,-,-,-,-,-,-,-,"1,00",180',BRA1_2022,BRA1,2022,Ceará SC
André Luiz,371259,67,21,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
Lucas Ribeiro,605893,14,22,,22,9,1,-,2,-,-,3,3,"0,89",502',BRA1_2022,BRA1,2022,Ceará SC
David Ricardo,985172,23,18,,14,5,-,-,2,-,-,1,-,"0,80",398',BRA1_2022,BRA1,2022,Ceará SC
Gabriel Lacerda,742855,15,21,,37,26,-,-,4,-,-,7,1,"1,04",1.883',BRA1_2022,BRA1,2022,Ceará SC
Messias,401539,3,26,,27,25,-,-,4,-,-,1,3,"1,16",2.069',BRA1_2022,BRA1,2022,Ceará SC
Victor Luís,234538,33,28,,31,24,-,-,1,-,-,10,3,"0,67",1.405',BRA1_2022,BRA1,2022,Ceará SC
Bruno Pacheco,435163,6,29,,29,28,1,2,5,-,1,1,8,"0,96",2.360',BRA1_2022,BRA1,2022,Ceará SC
Marcos Victor,980463,44,19,,29,6,-,-,2,-,-,2,3,"1,33",358',BRA1_2022,BRA1,2022,Ceará SC
Kelvyn,716388,70,22,,19,2,-,-,-,-,-,2,1,"0,50",55',BRA1_2022,BRA1,2022,Ceará SC
Michel Macedo,77262,88,31,,34,17,-,1,2,-,-,5,7,"1,00",1.069',BRA1_2022,BRA1,2022,Ceará SC
Luiz Otávio,265693,13,32,,25,23,1,-,7,-,1,1,2,"0,96",1.823',BRA1_2022,BRA1,2022,Ceará SC
Atila,894773,77,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
Nino Paraíba,72451,2,35,,34,33,1,1,11,-,-,8,7,"0,97",2.216',BRA1_2022,BRA1,2022,Ceará SC
Marcos Ytalo,375242,27,25,,9,2,-,-,-,-,-,1,-,"1,50",160',BRA1_2022,BRA1,2022,Ceará SC
Lima,387611,45,25,,32,31,3,-,2,-,1,8,14,"0,87",1.941',BRA1_2022,BRA1,2022,Ceará SC
Fernando Sobral,350342,8,26,,32,23,1,-,2,-,-,13,6,"1,30",998',BRA1_2022,BRA1,2022,Ceará SC
Guilherme Castilho,726005,-,21,,18,13,1,-,2,-,-,5,6,"0,62",684',BRA1_2022,BRA1,2022,Ceará SC
Richard,530737,25,27,,30,30,-,1,12,-,1,-,15,"1,00",2.387',BRA1_2022,BRA1,2022,Ceará SC
Vina,106281,29,30,,31,31,3,2,5,2,-,3,10,"0,87",2.410',BRA1_2022,BRA1,2022,Ceará SC
Geovane,865572,21,22,,35,17,-,-,4,-,-,12,5,"1,12",546',BRA1_2022,BRA1,2022,Ceará SC
Marlon,538234,-,31,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
Richardson,145573,7,29,,31,31,-,-,14,-,1,4,20,"1,13",2.087',BRA1_2022,BRA1,2022,Ceará SC
Wescley,166483,20,29,,9,2,-,-,-,-,-,1,1,"0,50",67',BRA1_2022,BRA1,2022,Ceará SC
Caio Rafael,1012166,-,17,,1,1,-,-,-,-,-,1,-,"3,00",32',BRA1_2022,BRA1,2022,Ceará SC
Rodrigo Lindoso,186922,19,32,,13,13,-,1,6,-,-,3,5,"1,15",864',BRA1_2022,BRA1,2022,Ceará SC
Diego Rigonato,55042,-,33,,11,7,-,-,1,-,-,5,2,"0,14",203',BRA1_2022,BRA1,2022,Ceará SC
Wendell,1012158,-,18,,1,1,-,-,-,-,-,1,-,"3,00",10',BRA1_2022,BRA1,2022,Ceará SC
David,834462,16,17,,6,1,-,-,-,-,-,1,-,"3,00",10',BRA1_2022,BRA1,2022,Ceará SC
Léo Rafael,795619,80,20,,9,2,-,-,-,-,-,1,1,"1,50",87',BRA1_2022,BRA1,2022,Ceará SC
Matheus Índio,980461,47,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
Da Guia,980462,54,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
Rubens,980563,92,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
Erick,515638,11,23,,32,24,2,-,5,-,-,14,10,"0,83",1.049',BRA1_2022,BRA1,2022,Ceará SC
Matheus Peixoto,518361,28,25,,18,13,-,1,-,-,-,8,5,"1,31",466',BRA1_2022,BRA1,2022,Ceará SC
Vitor Jacaré,691843,40,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
Stiven Mendoza,131101,10,29,,29,29,10,1,6,-,-,1,10,"0,93",2.339',BRA1_2022,BRA1,2022,Ceará SC
Zé Roberto,305428,63,27,,33,21,2,1,3,-,1,15,6,"0,90",729',BRA1_2022,BRA1,2022,Ceará SC
Iury Castilho,366450,99,25,,31,13,-,1,3,-,-,9,3,"1,08",515',BRA1_2022,BRA1,2022,Ceará SC
Jhon Vásquez,389010,-,26,,16,13,-,-,2,-,-,10,3,"0,62",408',BRA1_2022,BRA1,2022,Ceará SC
Cléber,645600,89,24,,26,21,5,-,4,1,-,9,12,"1,05",984',BRA1_2022,BRA1,2022,Ceará SC
Pedro Igor,980464,82,19,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
Gabriel Santos,662033,90,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
João Victor,842370,52,17,,8,3,-,-,-,-,-,3,-,"0,67",14',BRA1_2022,BRA1,2022,Ceará SC
Jô,34156,-,34,,12,11,2,-,1,-,1,2,5,"0,45",789',BRA1_2022,BRA1,2022,Ceará SC
Daniel Mazerochi,1079283,-,17,,1,1,-,-,-,-,-,1,-,"3,00",23',BRA1_2022,BRA1,2022,Ceará SC
Dentinho,52787,31,32,,10,5,-,-,-,-,-,5,-,"1,40",51',BRA1_2022,BRA1,2022,Ceará SC
Jael,80815,-,32,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
Guthierres,1035231,-,20,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
Felipe Micael,741100,39,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Ceará SC
Gabriel,79242,-,28,,15,13,-,-,2,-,-,-,-,"1,31",1.170',BRA1_2022,BRA1,2022,Coritiba FC
Alex Muralha,277743,23,31,,35,19,-,-,1,-,-,-,-,"1,11",1.710',BRA1_2022,BRA1,2022,Coritiba FC
Rafael William,976274,21,19,,22,6,-,1,1,-,-,-,-,"0,67",540',BRA1_2022,BRA1,2022,Coritiba FC
Marcão,764266,12,21,,5,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Natanael,740295,16,19,,28,25,-,-,3,-,-,10,7,"1,00",1.435',BRA1_2022,BRA1,2022,Coritiba FC
Matheus Alexandre,617687,2,22,,24,21,-,-,5,-,-,5,7,"1,10",1.400',BRA1_2022,BRA1,2022,Coritiba FC
Guilherme Biro,740293,18,21,,20,14,-,-,3,-,-,4,6,"0,71",740',BRA1_2022,BRA1,2022,Coritiba FC
Nathan Mendes,887801,45,18,,17,10,-,1,1,-,1,5,4,"0,80",448',BRA1_2022,BRA1,2022,Coritiba FC
Rafael Santos,625617,-,23,,18,15,-,-,2,-,-,2,4,"1,33",1.147',BRA1_2022,BRA1,2022,Coritiba FC
Warley,681627,-,21,,18,15,-,-,1,-,2,8,6,"1,53",562',BRA1_2022,BRA1,2022,Coritiba FC
Diogo Batista,994588,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Jhon Chancellor,213614,-,29,,15,13,-,-,3,-,-,-,-,"1,31",1.170',BRA1_2022,BRA1,2022,Coritiba FC
Thalisson,874307,14,19,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Luciano Castán,140541,4,31,,35,35,2,-,7,-,1,-,-,"1,11",3.150',BRA1_2022,BRA1,2022,Coritiba FC
Guillermo de los Santos,179276,5,30,,35,14,-,1,2,-,1,3,3,"1,07",947',BRA1_2022,BRA1,2022,Coritiba FC
Márcio Silva,863033,44,19,,26,2,-,-,-,-,-,-,-,"1,50",180',BRA1_2022,BRA1,2022,Coritiba FC
Egídio,54419,6,35,,30,21,1,2,1,-,1,8,4,"1,24",1.256',BRA1_2022,BRA1,2022,Coritiba FC
Henrique,52513,3,34,,30,18,-,-,4,-,1,-,-,"1,06",1.616',BRA1_2022,BRA1,2022,Coritiba FC
Diego Porfirio,896860,33,21,,18,8,-,-,2,1,-,3,3,"1,13",451',BRA1_2022,BRA1,2022,Coritiba FC
Ângelo,432154,66,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Bruno Gomes,703322,-,20,,18,18,1,-,3,-,-,2,4,"1,22",1.500',BRA1_2022,BRA1,2022,Coritiba FC
Matías Galarza Fonda,661269,15,19,,25,11,-,-,5,-,-,2,7,"0,82",605',BRA1_2022,BRA1,2022,Coritiba FC
Andrey,351895,7,23,,6,6,3,-,1,-,-,-,4,"1,50",489',BRA1_2022,BRA1,2022,Coritiba FC
Jesús Trindade,251773,-,27,,19,17,-,1,3,-,-,2,4,"1,00",1.313',BRA1_2022,BRA1,2022,Coritiba FC
Gabriel Boschilia,288496,-,25,,9,8,-,-,2,-,-,1,7,"0,88",482',BRA1_2022,BRA1,2022,Coritiba FC
Matheus Sales,407654,36,26,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Régis,272554,78,28,,35,22,1,2,2,-,-,14,8,"1,14",756',BRA1_2022,BRA1,2022,Coritiba FC
Thonny  Anderson,561214,19,23,,21,18,-,1,3,1,1,11,8,"1,11",729',BRA1_2022,BRA1,2022,Coritiba FC
Bernardo,740294,25,19,,37,19,-,-,1,-,-,10,6,"1,32",939',BRA1_2022,BRA1,2022,Coritiba FC
Gustavo Bochecha,439455,88,25,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Juan Díaz,632290,-,20,,10,4,-,-,-,-,-,3,-,"1,00",134',BRA1_2022,BRA1,2022,Coritiba FC
Geovane Meurer,1056021,-,19,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Val Soares,520665,97,24,,18,13,-,1,6,-,-,5,7,"1,15",617',BRA1_2022,BRA1,2022,Coritiba FC
Biel Fonseca,867139,75,19,,14,5,-,-,1,-,-,5,-,"0,40",97',BRA1_2022,BRA1,2022,Coritiba FC
Willian Farias,71080,8,32,,23,21,-,-,7,-,-,2,5,"1,14",1.600',BRA1_2022,BRA1,2022,Coritiba FC
Robinho,75833,20,33,,22,19,-,2,2,-,-,11,8,"1,26",890',BRA1_2022,BRA1,2022,Coritiba FC
Maicky,1024601,-,20,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Igor Paixão,653610,98,21,,18,18,4,4,3,-,-,1,2,"0,89",1.554',BRA1_2022,BRA1,2022,Coritiba FC
Adrián Martínez,598769,52,28,,26,22,4,1,7,-,-,12,8,"0,73",998',BRA1_2022,BRA1,2022,Coritiba FC
Clayton,733579,99,22,,14,9,-,-,1,-,-,6,2,"1,33",324',BRA1_2022,BRA1,2022,Coritiba FC
Kaio César,766258,-,17,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Alef Manga,612479,11,26,,35,35,9,5,11,1,-,5,21,"1,11",2.443',BRA1_2022,BRA1,2022,Coritiba FC
Edson Carioca,794925,80,24,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Fabrício Daniel,787269,13,23,,30,28,3,4,3,-,-,9,17,"1,36",1.505',BRA1_2022,BRA1,2022,Coritiba FC
Pablo García,421191,28,22,,14,1,-,-,-,-,-,1,-,"3,00",7',BRA1_2022,BRA1,2022,Coritiba FC
Zé Hugo,940479,-,21,,25,13,1,-,-,-,-,11,2,"1,00",386',BRA1_2022,BRA1,2022,Coritiba FC
Nathan Fogaça,592363,17,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Matheus Cadorini,868060,-,18,,9,7,2,-,1,-,-,3,4,"1,00",319',BRA1_2022,BRA1,2022,Coritiba FC
Léo Gamalho,143817,9,35,,30,28,8,-,2,-,-,11,10,"1,18",1.658',BRA1_2022,BRA1,2022,Coritiba FC
Neilton,264284,70,27,,10,4,-,-,1,-,-,3,1,"1,00",82',BRA1_2022,BRA1,2022,Coritiba FC
Hernán Pérez,73636,-,32,,5,2,-,-,1,-,-,1,1,"0,00",96',BRA1_2022,BRA1,2022,Coritiba FC
Vinícius Ribeiro,749071,83,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
Luizão,887267,77,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,Coritiba FC
João Vitor,839814,-,21,,1,1,-,-,-,-,-,1,-,"0,00",12',BRA1_2022,BRA1,2022,Coritiba FC
Gabriel,79242,1,29,,31,31,-,1,3,-,-,-,1,"0,84",2.766',BRA1_2023,BRA1,2023,Coritiba FC
Pedro Morisco,974488,72,18,,8,3,-,-,-,-,-,-,-,"0,33",270',BRA1_2023,BRA1,2023,Coritiba FC
Luan Polli,273250,27,29,,37,5,-,-,2,-,-,1,-,"0,60",384',BRA1_2023,BRA1,2023,Coritiba FC
Alex Muralha,277743,-,32,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Marcão,764266,12,22,,8,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Benjamín Kuscevic,340840,13,26,,23,23,2,-,7,-,-,-,1,"0,83",2.025',BRA1_2023,BRA1,2023,Coritiba FC
Natanael,740295,16,20,,36,33,-,1,7,-,-,4,9,"0,82",2.510',BRA1_2023,BRA1,2023,Coritiba FC
Bruno Viana,411838,-,27,,14,10,-,-,4,-,-,1,1,"0,30",811',BRA1_2023,BRA1,2023,Coritiba FC
Nathan Mendes,887801,45,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Jean Pedroso,1090422,-,18,,22,7,-,-,1,-,-,1,1,"0,71",585',BRA1_2023,BRA1,2023,Coritiba FC
Jamerson,613641,83,23,,35,29,-,1,4,-,1,7,6,"0,90",1.891',BRA1_2023,BRA1,2023,Coritiba FC
Reynaldo,514297,4,25,,14,6,-,-,3,-,-,5,-,"1,17",242',BRA1_2023,BRA1,2023,Coritiba FC
Hayner,389942,2,26,,13,8,-,-,3,-,-,5,3,"0,75",303',BRA1_2023,BRA1,2023,Coritiba FC
Victor Luís,234538,26,29,,35,24,2,1,4,-,-,7,8,"1,08",1.571',BRA1_2023,BRA1,2023,Coritiba FC
Vilar,978269,28,22,,9,1,-,-,-,-,-,-,-,"0,00",90',BRA1_2023,BRA1,2023,Coritiba FC
Diogo Batista,994588,-,18,,19,11,-,1,1,-,-,6,3,"0,91",528',BRA1_2023,BRA1,2023,Coritiba FC
Marcos Vinícius,594006,-,25,,11,5,-,-,1,-,-,4,-,"0,60",169',BRA1_2023,BRA1,2023,Coritiba FC
Maurício Antônio,340557,5,30,,6,3,-,-,-,-,-,2,-,"0,33",180',BRA1_2023,BRA1,2023,Coritiba FC
Thalisson,874307,14,20,,13,11,-,-,2,-,-,-,1,"0,91",945',BRA1_2023,BRA1,2023,Coritiba FC
Jhon Chancellor,213614,41,30,,5,4,-,-,-,-,-,1,1,"0,25",303',BRA1_2023,BRA1,2023,Coritiba FC
Márcio Silva,863033,44,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Diego Porfirio,896860,-,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Henrique,52513,3,35,,29,24,-,-,7,-,-,1,2,"1,13",2.025',BRA1_2023,BRA1,2023,Coritiba FC
Bruno Gomes,703322,6,21,,29,29,3,1,4,-,1,3,12,"0,72",2.206',BRA1_2023,BRA1,2023,Coritiba FC
Marcelino Moreno,456617,10,27,,35,31,2,4,6,-,-,4,13,"0,81",2.314',BRA1_2023,BRA1,2023,Coritiba FC
Andrey,351895,7,24,,37,26,1,-,5,-,-,15,9,"0,85",1.118',BRA1_2023,BRA1,2023,Coritiba FC
Liziero,401526,31,24,,12,10,-,-,1,-,-,2,6,"0,30",590',BRA1_2023,BRA1,2023,Coritiba FC
Sebastián Gómez,570522,19,26,,20,20,2,1,3,-,-,2,12,"0,75",1.437',BRA1_2023,BRA1,2023,Coritiba FC
Jesús Trindade,251773,50,28,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Gabriel Silva,983109,-,19,,17,4,-,-,-,-,-,3,1,"0,75",88',BRA1_2023,BRA1,2023,Coritiba FC
Matheus Bianqui,634737,17,24,,34,28,2,1,8,-,-,11,14,"0,79",1.422',BRA1_2023,BRA1,2023,Coritiba FC
Gabriel Boschilia,288496,35,26,,14,11,1,1,1,-,-,8,4,"0,73",342',BRA1_2023,BRA1,2023,Coritiba FC
Régis,272554,78,29,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Bernardo,740294,25,20,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Jean Gabriel,1088070,-,19,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Fransérgio,111828,15,31,,23,15,-,-,1,-,-,11,4,"1,07",529',BRA1_2023,BRA1,2023,Coritiba FC
Júnior Urso,144789,23,33,,6,6,-,-,2,-,-,4,1,"0,33",295',BRA1_2023,BRA1,2023,Coritiba FC
Biel Fonseca,867139,75,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Willian Farias,71080,8,33,,19,16,-,-,3,1,-,5,3,"0,69",956',BRA1_2023,BRA1,2023,Coritiba FC
Andreas Samaris,140032,22,33,,11,4,-,-,1,-,-,-,4,"0,00",185',BRA1_2023,BRA1,2023,Coritiba FC
Jorge Vinícius,1083542,-,19,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Lucas Barbosa,816144,21,21,,13,5,-,-,-,-,-,5,-,"0,00",97',BRA1_2023,BRA1,2023,Coritiba FC
Kaio César,766258,37,18,,29,24,-,-,3,-,-,15,8,"0,83",875',BRA1_2023,BRA1,2023,Coritiba FC
Lucas Ronier,1090819,-,17,,3,2,-,-,1,-,-,2,-,"0,00",54',BRA1_2023,BRA1,2023,Coritiba FC
Islam Slimani,174915,9,34,,11,11,3,2,-,1,-,1,6,"1,09",823',BRA1_2023,BRA1,2023,Coritiba FC
Zé Roberto,305428,18,28,,12,10,1,1,2,1,-,3,6,"0,50",527',BRA1_2023,BRA1,2023,Coritiba FC
Maurício Garcez,802809,33,25,,21,14,1,-,-,-,-,10,4,"0,93",592',BRA1_2023,BRA1,2023,Coritiba FC
William Pottker,199472,90,28,,6,4,-,-,1,-,-,3,1,"0,50",114',BRA1_2023,BRA1,2023,Coritiba FC
Robson,161188,30,31,,33,32,12,4,13,-,-,2,19,"0,84",2.366',BRA1_2023,BRA1,2023,Coritiba FC
Alef Manga,612479,-,27,,10,10,4,3,3,-,-,1,1,"0,80",804',BRA1_2023,BRA1,2023,Coritiba FC
Fabrício Daniel,787269,-,24,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Diogo de Oliveira,747820,-,25,,16,15,1,1,2,-,-,6,8,"1,07",758',BRA1_2023,BRA1,2023,Coritiba FC
Jesé,134936,11,29,,13,6,1,-,-,-,-,6,-,"0,00",90',BRA1_2023,BRA1,2023,Coritiba FC
Wesley Pomba,574774,57,20,,6,1,-,-,1,-,-,1,1,"1,00",50',BRA1_2023,BRA1,2023,Coritiba FC
Rodrigo Pinho,366278,-,31,,17,10,-,-,2,-,-,5,5,"1,10",384',BRA1_2023,BRA1,2023,Coritiba FC
Matheus Cadorini,868060,-,19,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Coritiba FC
Edu,548591,99,29,,19,10,2,-,-,-,-,8,2,"0,50",314',BRA1_2023,BRA1,2023,Coritiba FC
Anderson,598974,98,24,,37,1,-,-,2,-,1,-,-,"1,00",90',BRA1_2023,BRA1,2023,Cruzeiro EC
Rafael Cabral,103916,1,32,,37,37,-,-,3,-,-,-,-,"1,24",3.330',BRA1_2023,BRA1,2023,Cruzeiro EC
Gabriel Mesquita,645897,91,23,,7,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Cruzeiro EC
Rodrigo Bazilio,668224,41,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Cruzeiro EC
Marlon,406675,3,25,,36,36,3,2,7,-,-,-,5,"1,14",3.203',BRA1_2023,BRA1,2023,Cruzeiro EC
João Marcelo,744024,43,22,,20,5,-,-,-,-,-,4,-,"1,60",162',BRA1_2023,BRA1,2023,Cruzeiro EC
William,341710,12,27,,34,33,-,2,6,-,-,2,7,"1,33",2.651',BRA1_2023,BRA1,2023,Cruzeiro EC
Lucas Oliveira,592373,6,26,,29,16,1,-,3,2,-,1,2,"1,25",1.312',BRA1_2023,BRA1,2023,Cruzeiro EC
Wesley Gasolina,371967,2,22,,6,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Cruzeiro EC
Kaiki,879217,14,19,,29,8,-,-,1,-,-,5,3,"1,13",225',BRA1_2023,BRA1,2023,Cruzeiro EC
Helibelton Palacios,211389,24,29,,24,10,-,-,4,-,-,4,3,"0,60",629',BRA1_2023,BRA1,2023,Cruzeiro EC
Reynaldo,514297,29,25,,13,2,-,-,-,-,-,1,1,"3,00",66',BRA1_2023,BRA1,2023,Cruzeiro EC
Marquinhos Cipriano,569805,-,23,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,Cruzeiro EC
Neris,349513,27,30,,35,26,-,1,8,-,-,2,4,"1,23",2.114',BRA1_2023,BRA1,2023,Cruzeiro EC
Igor Formiga,688690,33,23,,13,4,-,1,1,-,-,3,1,"1,00",117',BRA1_2023,BRA1,2023,Cruzeiro EC
Luciano Castán,140541,4,32,,36,36,1,-,7,-,-,-,3,"1,22",3.213',BRA1_2023,BRA1,2023,Cruzeiro EC
